brand,type,modelName,energyClass,power,area,price,imageOutdoorURL,imageIndoorURL,maxCoolingCapacity,maxHeatingCapacity,averagePower,entryCoolingPower,entryHeatingPower,airFlow,dehumidificationRate,noiseLevel,workingTemperatureFrom,workingTemperatureTo,indoorUnitMass,outdoorUnitMass,freon,outdoorUnitDimensionsX,outdoorUnitDimensionsY,outdoorUnitDimensionsZ,guarantee
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-12CH35AEMI R32,A++ (6.1/4.0),3517,35,19999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-12CH35AEMI R32.png,4162,4220,3517,1213,1088,540,1.2,40.5,-15,50,7.6,23.2,R32,720,495,270,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-18CH50AEMI R32,A++ (7.1/4.0),3517,55,33999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-18CH50AEMI R32.png,6130,6740,5280,1539,1480,840,1.8,42,-15,50,10,34,R32,800,554,333,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-24CH70AEMI R32,A++ (6.1/4.0),7030,75,48999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-24CH70AEMI R32.png,7948,8790,7030,2345,2035,980,2.4,44.5,-15,50,12.3,51.5,R32,845,702,363,36
HAIER,INVERTER_SPLIT_SYSTEMS,TIDE AS25THMHRA/1U25YEMFRA,A++ (6.1/4.0),2600,35,24990,images\devices-images\outdoor\Haier\Haier1.png,images\devices-images\indoor\Haier\Haier - TIDE AS25THMHRA-1U25YEMFRA.png,3000,3200,2600,800,780,500,1.2,37,-15,43,8.8,8.8,R32,700,553,240,36
HAIER,INVERTER_SPLIT_SYSTEMS,TIDE AS35TAMHRA/1U35YEMFRA,A++ (6.1/4.1),3500,35,25990,images\devices-images\outdoor\Haier\Haier1.png,images\devices-images\indoor\Haier\Haier - TIDE AS35TAMHRA-1U35YEMFRA.png,3700,4200,3500,1110,990,550,1.6,37,-15,43,8.8,28,R32,780,540,245,36
HAIER,INVERTER_SPLIT_SYSTEMS,TUNDRA GREEN AS25TADHRA-CL/1U25BEFFRA,A++ (6.2/4.0),2600,35,27490,images\devices-images\outdoor\Haier\Haier1.png,images\devices-images\indoor\Haier\Haier - TUNDRA GREEN AS25TADHRA-CL-1U25BEFFRA.png,3400,3800,2600,800,800,500,1.2,37,-15,43,8.8,27,R32,820,280,195,36
HAIER,INVERTER_SPLIT_SYSTEMS,TINDE GREEN AS35TADHRA-CL/1U35MEEFRA,A++ (6.4/4.1),3600,35,25990,images\devices-images\outdoor\Haier\Haier2.png,images\devices-images\indoor\Haier\Haier - TINDE GREEN AS35TADHRA-CL-1U35MEEFRA.png,4000,4600,3600,1100,1000,550,1.6,38,-15,43,8.8,28,R32,800,550,280,36
HAIER,INVERTER_SPLIT_SYSTEMS,TUNDRA AS50TDDHRA-CL/1U50MEEFRA,A++ (6.1/4.0),5000,60,40990,images\devices-images\outdoor\Haier\Haier2.png,images\devices-images\indoor\Haier\Haier - TUNDRA AS50TDDHRA-CL-1U50MEEFRA.png,5800,6000,5000,1460,1400,1000,2,44,-15,43,11.6,33.5,R32,800,550,280,36
HAIER,INVERTER_SPLIT_SYSTEMS, FLEXIS AS35S2SF1FA/1U35S2SM1FA,A+++ (8.5/4.6),3500,40,41990,images\devices-images\outdoor\Haier\Haier1.png,images\devices-images\indoor\Haier\Haier - FLEXIS AS35S2SF1FA-1U35S2SM1FA.png,4000,5200,3500,880,1100,650,1.6,39,-15,43,9.5,31.5,R32,800,550,280,36
HAIER,INVERTER_SPLIT_SYSTEMS,FLEXIS AS50S2SF1FA/1U50S2SJFA,A++ (7.2/4.6),5200,60,56990,images\devices-images\outdoor\Haier\Haier2.png,images\devices-images\indoor\Haier\Haier - FLEXIS AS50S2SF1FA-1U50S2SJFA.png,6000,6900,5200,1410,1500,900,2,45,-15,43,12,37.8,R32,820,338,614,36
HAIER,INVERTER_SPLIT_SYSTEMS,TUNDRA GREEN AS68TEBHRA-CL/1U68REFFRA,A++ (7.1/4.0),7000,80,65990,images\devices-images\outdoor\Haier\Haier1.png,images\devices-images\indoor\Haier\Haier - TUNDRA GREEN AS68TEBHRA-CL-1U68REFFRA.png,8500,10000,7000,2160,2180,1200,2.8,47,-15,43,14,51,R32,890,697,353,36
HAIER,INVERTER_SPLIT_SYSTEMS,DAWN AS35S2SD1FA/1U35S2SJ1FA,A+++ (8.5/4.6),3500,35,63990,images\devices-images\outdoor\Haier\Haier1.png,images\devices-images\indoor\Haier\Haier - DAWN AS35S2SD1FA-1U35S2SJ1FA.png,4300,5800,3500,870,1050,700,1.6,35,-15,43,11.8,37.4,R32,820,614,338,36
CARRIER,INVERTER_SPLIT_SYSTEMS,Crystal II 42QHB09D8SA / 38QHB09D8S,A+++ (7.1/5.1),2640,25,39990,images\devices-images\outdoor\Carrier\Carrier1.png,images\devices-images\indoor\Carrier\Carrier - Crystal II 42QHB09D8SA-38QHB09D8S.png,3200,3600,2640,740,720,420,1,38,-15,46,7.3,27,R32,900,595,345,36
